Country,Requests,Dates
HT,360000,2015-05-01 00:00:00
GI,328000,2015-05-01 00:00:00
FO,318000,2015-05-01 00:00:00
RE,317000,2015-05-01 00:00:00
YE,316000,2015-05-01 00:00:00
MG,308000,2015-05-01 00:00:00
CD,294000,2015-05-01 00:00:00
DJ,288000,2015-05-01 00:00:00
GD,284000,2015-05-01 00:00:00
DM,248000,2015-05-01 00:00:00
MQ,215000,2015-05-01 00:00:00
GP,192000,2015-05-01 00:00:00
SL,192000,2015-05-01 00:00:00
SC,191000,2015-05-01 00:00:00
GA,185000,2015-05-01 00:00:00
XK,181000,2015-05-01 00:00:00
MP,173000,2015-05-01 00:00:00
LS,163000,2015-05-01 00:00:00
BJ,156000,2015-05-01 00:00:00
SX,155000,2015-05-01 00:00:00
TJ,153000,2015-05-01 00:00:00
MC,145000,2015-05-01 00:00:00
ML,144000,2015-05-01 00:00:00
VC,139000,2015-05-01 00:00:00
GM,138000,2015-05-01 00:00:00
TG,135000,2015-05-01 00:00:00
VG,134000,2015-05-01 00:00:00
SZ,133000,2015-05-01 00:00:00
TC,119000,2015-05-01 00:00:00
GF,117000,2015-05-01 00:00:00
AX,113000,2015-05-01 00:00:00
NC,113000,2015-05-01 00:00:00
SS,111000,2015-05-01 00:00:00
PF,105000,2015-05-01 00:00:00
CV,98000,2015-05-01 00:00:00
VU,97000,2015-05-01 00:00:00
GN,95000,2015-05-01 00:00:00
MR,94000,2015-05-01 00:00:00
GL,86000,2015-05-01 00:00:00
KP,86000,2015-05-01 00:00:00
AS,84000,2015-05-01 00:00:00
AD,81000,2015-05-01 00:00:00
BF,78000,2015-05-01 00:00:00
CG,72000,2015-05-01 00:00:00
BQ,64000,2015-05-01 00:00:00
TD,64000,2015-05-01 00:00:00
TL,61000,2015-05-01 00:00:00
SB,58000,2015-05-01 00:00:00
BI,56000,2015-05-01 00:00:00
WS,52000,2015-05-01 00:00:00
NE,51000,2015-05-01 00:00:00
MF,42000,2015-05-01 00:00:00
MH,41000,2015-05-01 00:00:00
AI,38000,2015-05-01 00:00:00
FM,38000,2015-05-01 00:00:00
PM,37000,2015-05-01 00:00:00
GQ,34000,2015-05-01 00:00:00
ER,32000,2015-05-01 00:00:00
CK,31000,2015-05-01 00:00:00
YT,29000,2015-05-01 00:00:00
FK,24000,2015-05-01 00:00:00
SM,23000,2015-05-01 00:00:00
PW,21000,2015-05-01 00:00:00
KI,19000,2015-05-01 00:00:00
TO,19000,2015-05-01 00:00:00
BL,17000,2015-05-01 00:00:00
VA,14000,2015-05-01 00:00:00
GW,12000,2015-05-01 00:00:00
MS,8000,2015-05-01 00:00:00
ST,7000,2015-05-01 00:00:00
KM,6000,2015-05-01 00:00:00
IO,5000,2015-05-01 00:00:00
CF,5000,2015-05-01 00:00:00
NU,3000,2015-05-01 00:00:00
NR,2000,2015-05-01 00:00:00
TV,2000,2015-05-01 00:00:00
WF,2000,2015-05-01 00:00:00
SH,1000,2015-05-01 00:00:00
CX,1000,2015-05-01 00:00:00
NF,1000,2015-05-01 00:00:00
US,3323667000,2015-06-01 00:00:00
GB,736195000,2015-06-01 00:00:00
IN,445937000,2015-06-01 00:00:00
CA,346385000,2015-06-01 00:00:00
IR,269765000,2015-06-01 00:00:00
AU,231541000,2015-06-01 00:00:00
--,195576000,2015-06-01 00:00:00
DE,155148000,2015-06-01 00:00:00
PH,121142000,2015-06-01 00:00:00
FR,88832000,2015-06-01 00:00:00
NL,73001000,2015-06-01 00:00:00
CN,72405000,2015-06-01 00:00:00
MY,61207000,2015-06-01 00:00:00
SG,59170000,2015-06-01 00:00:00
IE,58456000,2015-06-01 00:00:00
BR,54842000,2015-06-01 00:00:00
IT,54637000,2015-06-01 00:00:00
JP,50480000,2015-06-01 00:00:00
RU,49703000,2015-06-01 00:00:00
SE,47615000,2015-06-01 00:00:00
ID,47091000,2015-06-01 00:00:00
NO,45618000,2015-06-01 00:00:00
ES,43856000,2015-06-01 00:00:00
PL,43454000,2015-06-01 00:00:00
NZ,43393000,2015-06-01 00:00:00
PK,39246000,2015-06-01 00:00:00
ZA,37501000,2015-06-01 00:00:00
MX,36628000,2015-06-01 00:00:00
KR,36073000,2015-06-01 00:00:00
TR,35889000,2015-06-01 00:00:00
GR,30250000,2015-06-01 00:00:00
SA,29284000,2015-06-01 00:00:00
AE,29262000,2015-06-01 00:00:00
RO,29041000,2015-06-01 00:00:00
DK,27650000,2015-06-01 00:00:00
FI,27115000,2015-06-01 00:00:00
HK,26836000,2015-06-01 00:00:00
BE,26450000,2015-06-01 00:00:00
TH,25920000,2015-06-01 00:00:00
IL,24060000,2015-06-01 00:00:00
CH,22345000,2015-06-01 00:00:00
TW,21811000,2015-06-01 00:00:00
VN,21747000,2015-06-01 00:00:00
UA,19986000,2015-06-01 00:00:00
PT,18810000,2015-06-01 00:00:00
RS,17633000,2015-06-01 00:00:00
CZ,17454000,2015-06-01 00:00:00
HU,16889000,2015-06-01 00:00:00
HR,15423000,2015-06-01 00:00:00
AR,15244000,2015-06-01 00:00:00
AT,15101000,2015-06-01 00:00:00
NG,14550000,2015-06-01 00:00:00
BG,13821000,2015-06-01 00:00:00
BD,13094000,2015-06-01 00:00:00
EG,12262000,2015-06-01 00:00:00
KP,10887000,2015-06-01 00:00:00
CL,10274000,2015-06-01 00:00:00
CO,9920000,2015-06-01 00:00:00
SI,9164000,2015-06-01 00:00:00
LK,9100000,2015-06-01 00:00:00
KE,8023000,2015-06-01 00:00:00
SK,7905000,2015-06-01 00:00:00
PE,6852000,2015-06-01 00:00:00
LT,6702000,2015-06-01 00:00:00
QA,6434000,2015-06-01 00:00:00
